Query,Expected_Answer,Category,Found_In_Results,Position_If_Found,Product_ID,Product_Name,Question_Type
What sizes does the pleated midi skirt come in?,"XS, S, M, L, XL",skirts,False,,CLT005,Pleated Midi Skirt,Other
What is the ID of the Linen Blend Blazer?,CLT006,jackets,True,1.0,CLT006,Linen Blend Blazer,ID Question
How much does the Linen Blend Blazer cost?,1599.99,jackets,True,1.0,CLT006,Linen Blend Blazer,Price Question
In which category can I find the Linen Blend Blazer?,jackets,jackets,False,,CLT006,Linen Blend Blazer,Other
What colors are available for the Linen Blend Blazer?,"Beige, Light Grey, Navy, Sage",jackets,False,,CLT006,Linen Blend Blazer,Other
What sizes can I order for the Linen Blend Blazer?,"S, M, L, XL, XXL",jackets,False,,CLT006,Linen Blend Blazer,Other
What is the ID of the leather Chelsea boots?,CLT007,shoes,True,1.0,CLT007,Leather Chelsea Boots,ID Question
How much do the leather Chelsea boots cost?,2499.99,shoes,True,1.0,CLT007,Leather Chelsea Boots,Price Question
In which category do I find the leather Chelsea boots?,shoes,shoes,False,,CLT007,Leather Chelsea Boots,Other
What color options are available for the leather Chelsea boots?,"Black, Brown, Tan, Burgundy",shoes,False,,CLT007,Leather Chelsea Boots,Other
What sizes are the leather Chelsea boots available in?,"UK6, UK7, UK8, UK9, UK10, UK11",shoes,False,,CLT007,Leather Chelsea Boots,Other
What is the ID of the silk wrap dress?,CLT008,dresses,True,1.0,CLT008,Silk Wrap Dress,ID Question
How much does the silk wrap dress cost?,2999.99,dresses,True,1.0,CLT008,Silk Wrap Dress,Price Question
What sizes are available for the silk wrap dress?,"XS, S, M, L, XL",dresses,False,,CLT008,Silk Wrap Dress,Other
What colors can I purchase the silk wrap dress in?,"Emerald, Navy, Ruby, Black",dresses,False,,CLT008,Silk Wrap Dress,Other
Is there a discount on the silk wrap dress?,"No, there is no discount on the silk wrap dress.",dresses,False,,CLT008,Silk Wrap Dress,Other
What is the ID of the cropped denim jacket?,CLT009,jackets,True,1.0,CLT009,Cropped Denim Jacket,ID Question
How much does the cropped denim jacket cost?,899.99,jackets,True,1.0,CLT009,Cropped Denim Jacket,Price Question
In which category can I find the cropped denim jacket?,jackets,jackets,False,,CLT009,Cropped Denim Jacket,Other
What color options and sizes are available for the cropped denim jacket?,"This jacket comes in colors Light Wash, Medium Wash, Dark Wash, and Black, and is available in sizes XS, S, M, L, and XL.",jackets,False,,CLT009,Cropped Denim Jacket,Other
Is there any discount on the cropped denim jacket?,"No, there is no discount on this product.",jackets,False,,CLT009,Cropped Denim Jacket,Other
What is the ID of the Cashmere Blend Cardigan?,CLT010,knitwear,True,1.0,CLT010,Cashmere Blend Cardigan,ID Question
How much does the Cashmere Blend Cardigan cost?,1799.99,knitwear,True,1.0,CLT010,Cashmere Blend Cardigan,Price Question
In which category can I find the Cashmere Blend Cardigan?,knitwear,knitwear,False,,CLT010,Cashmere Blend Cardigan,Other
What colors and sizes are available for the Cashmere Blend Cardigan?,"This cardigan comes in Cream, Grey, Navy, and Camel colors and is available in sizes S, M, L, and XL.",knitwear,False,,CLT010,Cashmere Blend Cardigan,Other
Is there any discount on the Cashmere Blend Cardigan?,"Yes, there is a 15% discount.",knitwear,False,,CLT010,Cashmere Blend Cardigan,Other
What is the ID of the wide-leg linen trousers?,CLT011,pants,True,1.0,CLT011,Wide-Leg Linen Trousers,ID Question
How much do the white wide-leg linen trousers cost?,999.99,pants,True,1.0,CLT011,Wide-Leg Linen Trousers,Price Question
Are there any size options available for the linen pants?,"Yes, they are available in XS, S, M, L, and XL.",pants,False,,CLT011,Wide-Leg Linen Trousers,Other
What colors are the wide-leg linen trousers offered in?,"Natural, White, Black, and Olive",pants,False,,CLT011,Wide-Leg Linen Trousers,Other
Is there a discount on the wide-leg linen pants?,"No, there is no discount at the moment.",pants,False,,CLT011,Wide-Leg Linen Trousers,Other
What is the ID of the Platform Canvas Sneakers?,CLT012,shoes,True,1.0,CLT012,Platform Canvas Sneakers,ID Question
How much do the Platform Canvas Sneakers cost?,699.99,shoes,True,1.0,CLT012,Platform Canvas Sneakers,Price Question
In which category do the Platform Canvas Sneakers belong?,shoes,shoes,False,,CLT012,Platform Canvas Sneakers,Other
What colors are available for the Platform Canvas Sneakers?,"White, Black, Navy, Red",shoes,False,,CLT012,Platform Canvas Sneakers,Other
What sizes can I purchase the Platform Canvas Sneakers in?,"UK4, UK5, UK6, UK7, UK8",shoes,False,,CLT012,Platform Canvas Sneakers,Other
What is the ID of the printed silk scarf?,CLT013,accessories,True,1.0,CLT013,Printed Silk Scarf,ID Question
How much does the printed silk scarf cost?,499.99,accessories,True,1.0,CLT013,Printed Silk Scarf,Price Question
In which category does the printed silk scarf belong?,accessories,accessories,False,,CLT013,Printed Silk Scarf,Other
What are the available colors for the printed silk scarf?,"Multi-Blue, Multi-Pink, Multi-Green, Multi-Purple",accessories,False,,CLT013,Printed Silk Scarf,Other
What size is the printed silk scarf and what care instructions should be followed?,"The printed silk scarf is available in one size. For care instructions, please refer to the product details.",accessories,False,,CLT013,Printed Silk Scarf,Other
What is the ID of the Satin Slip Dress?,CLT014,dresses,True,1.0,CLT014,Satin Slip Dress,ID Question
How much does the Satin Slip Dress cost?,1299.99,dresses,True,1.0,CLT014,Satin Slip Dress,Price Question
In which category can I find the Satin Slip Dress?,dresses,dresses,False,,CLT014,Satin Slip Dress,Other
What colors are available for the Satin Slip Dress?,"Black, Navy, Champagne, Sage Green",dresses,False,,CLT014,Satin Slip Dress,Other
What sizes does the Satin Slip Dress come in?,"XS, S, M, L, XL",dresses,False,,CLT014,Satin Slip Dress,Other
What is the ID of the Tailored Wool Trousers?,CLT015,pants,True,1.0,CLT015,Tailored Wool Trousers,ID Question
How much do the Charcoal Tailored Wool Trousers cost?,1499.99,pants,True,1.0,CLT015,Tailored Wool Trousers,Price Question
In which category can I find the Black Tailored Wool Trousers?,pants,pants,False,,CLT015,Tailored Wool Trousers,Other
What sizes are available for the Navy Tailored Wool Trousers?,"34, 36, 38, 40, 42, 44",pants,False,,CLT015,Tailored Wool Trousers,Other
Is there a discount on the Grey Tailored Wool Trousers?,"Yes, there is a 10% discount.",pants,False,,CLT015,Tailored Wool Trousers,Other
What is the ID of the Quilted Crossbody Bag?,CLT016,accessories,True,1.0,CLT016,Quilted Crossbody Bag,ID Question
How much does the crossbody bag cost?,899.99,accessories,True,1.0,CLT016,Quilted Crossbody Bag,Price Question
In which category would I find the Quilted Crossbody Bag?,accessories,accessories,False,,CLT016,Quilted Crossbody Bag,Other
What colors are available for this bag?,"Black, Tan, Navy, Red",accessories,False,,CLT016,Quilted Crossbody Bag,Other
What is the size and discount information for the Quilted Crossbody Bag?,"There is only one size available, and there is no discount for this product.",accessories,False,,CLT016,Quilted Crossbody Bag,Other
What is the ID of the Cotton Poplin Shirt Dress?,CLT017,dresses,True,1.0,CLT017,Cotton Poplin Shirt Dress,ID Question
How much does the White Cotton Poplin Shirt Dress cost?,1199.99,dresses,True,1.0,CLT017,Cotton Poplin Shirt Dress,Price Question
In which category can I find the Pink Cotton Poplin Shirt Dress?,dresses,dresses,False,,CLT017,Cotton Poplin Shirt Dress,Other
Is there a size XL for the Light Blue Cotton Poplin Shirt Dress?,Yes,dresses,False,,CLT017,Cotton Poplin Shirt Dress,Other
What is the discount on the Black Cotton Poplin Shirt Dress?,15%,dresses,False,,CLT017,Cotton Poplin Shirt Dress,Other
What is the ID of the Leather Block Heel Sandals?,CLT018,shoes,True,1.0,CLT018,Leather Block Heel Sandals,ID Question
How much do the Leather Block Heel Sandals cost?,1299.99,shoes,True,1.0,CLT018,Leather Block Heel Sandals,Price Question
In which category can I find the Leather Block Heel Sandals?,shoes,shoes,False,,CLT018,Leather Block Heel Sandals,Other
What colors are available for the Leather Block Heel Sandals?,"Black, Tan, White, Metallic Gold",shoes,False,,CLT018,Leather Block Heel Sandals,Other
What sizes are available for the Leather Block Heel Sandals?,"UK4, UK5, UK6, UK7, UK8",shoes,False,,CLT018,Leather Block Heel Sandals,Other
What is the ID of the Chunky Knit Sweater?,CLT019,knitwear,True,1.0,CLT019,Chunky Knit Sweater,ID Question
How much does the Chunky Knit Sweater cost?,1399.99,knitwear,True,1.0,CLT019,Chunky Knit Sweater,Price Question
In which category can I find the Chunky Knit Sweater?,knitwear,knitwear,False,,CLT019,Chunky Knit Sweater,Other
What color options are available for the Chunky Knit Sweater?,"Ivory, Charcoal, Camel, Forest Green",knitwear,False,,CLT019,Chunky Knit Sweater,Other
What sizes are offered for the Chunky Knit Sweater?,"S/M, M/L, L/XL",knitwear,False,,CLT019,Chunky Knit Sweater,Other
What is the ID of the High-Rise Yoga Leggings?,CLT020,activewear,True,1.0,CLT020,High-Rise Yoga Leggings,ID Question
How much do the High-Rise Yoga Leggings cost?,799.99,activewear,True,1.0,CLT020,High-Rise Yoga Leggings,Price Question
In which category can I find the High-Rise Yoga Leggings?,activewear,activewear,False,,CLT020,High-Rise Yoga Leggings,Other
What colors are available for the High-Rise Yoga Leggings?,"Black, Navy, Deep Purple, Forest Green",activewear,False,,CLT020,High-Rise Yoga Leggings,Other
What sizes are offered for the High-Rise Yoga Leggings?,"XS, S, M, L, XL",activewear,False,,CLT020,High-Rise Yoga Leggings,Other
What is the ID of the structured blazer dress?,CLT021,dresses,True,1.0,CLT021,Structured Blazer Dress,ID Question
How much does the black structured blazer dress cost?,1899.99,dresses,True,1.0,CLT021,Structured Blazer Dress,Price Question
In which category can I find the navy blazer dress?,dresses,dresses,False,,CLT021,Structured Blazer Dress,Other
What sizes are available for the beige blazer dress?,"XS, S, M, L, XL",dresses,False,,CLT021,Structured Blazer Dress,Other
Is there a discount on the white structured blazer dress?,"Yes, there is a 15% discount.",dresses,False,,CLT021,Structured Blazer Dress,Other
What is the ID of the leather mini backpack?,CLT022,accessories,True,1.0,CLT022,Leather Mini Backpack,ID Question
How much does the mini backpack made of leather cost?,1299.99,accessories,True,1.0,CLT022,Leather Mini Backpack,Price Question
In which category can I find the leather mini backpack on your website?,accessories,accessories,False,,CLT022,Leather Mini Backpack,Other
What color options are available for the leather mini backpack?,"Black, Tan, Navy, Burgundy",accessories,False,,CLT022,Leather Mini Backpack,Other
What size is the leather mini backpack and does it come in other sizes?,It comes in one size: One Size,accessories,False,,CLT022,Leather Mini Backpack,Other
What is the ID of the Printed Maxi Kimono?,CLT023,outerwear,True,1.0,CLT023,Printed Maxi Kimono,ID Question
How much does the Printed Maxi Kimono cost?,999.99,outerwear,True,1.0,CLT023,Printed Maxi Kimono,Price Question
In which category does the Printed Maxi Kimono belong?,outerwear,outerwear,False,,CLT023,Printed Maxi Kimono,Other
What are the available colors for the Printed Maxi Kimono?,"Blue Multi, Pink Multi, Green Multi, Black Multi",outerwear,False,,CLT023,Printed Maxi Kimono,Other
What sizes is the Printed Maxi Kimono available in?,One Size,outerwear,False,,CLT023,Printed Maxi Kimono,Other
